/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/interpolation.py:5: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  x = torch.tensor(x)
/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/interpolation.py:6: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  y = torch.tensor(y)
/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/ShiftedConv2d.py:32: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.shifts = torch.tensor(shifts)
Epoch:   0%|          | 0/40 [00:00<?, ?it/s]
Batch:   0%|          | 0/6250 [00:00<?, ?it/s][A
Batch:   0%|          | 14/6250 [00:10<1:14:20,  1.40it/s, train_loss=2.37, train_acc=0.125, avg_tr_acc=0.0982, avg_tr_loss=2.34][A
Batch:   0%|          | 29/6250 [00:20<1:12:57,  1.42it/s, train_loss=2.36, train_acc=0, avg_tr_acc=0.116, avg_tr_loss=2.32]     [A
Batch:   1%|          | 44/6250 [00:30<1:12:21,  1.43it/s, train_loss=2.29, train_acc=0.125, avg_tr_acc=0.108, avg_tr_loss=2.32][A
Batch:   1%|          | 59/6250 [00:41<1:12:05,  1.43it/s, train_loss=2.27, train_acc=0.25, avg_tr_acc=0.131, avg_tr_loss=2.31] [A
Batch:   1%|1         | 74/6250 [00:51<1:11:44,  1.43it/s, train_loss=2.25, train_acc=0.125, avg_tr_acc=0.128, avg_tr_loss=2.31][A
Batch:   1%|1         | 89/6250 [01:02<1:11:40,  1.43it/s, train_loss=2.38, train_acc=0, avg_tr_acc=0.131, avg_tr_loss=2.31]    [A
Batch:   2%|1         | 104/6250 [01:12<1:11:48,  1.43it/s, train_loss=2.25, train_acc=0.375, avg_tr_acc=0.135, avg_tr_loss=2.31][A
Batch:   2%|1         | 119/6250 [01:23<1:11:33,  1.43it/s, train_loss=2.23, train_acc=0.25, avg_tr_acc=0.133, avg_tr_loss=2.31] [A
Batch:   2%|2         | 134/6250 [01:33<1:11:29,  1.43it/s, train_loss=2.31, train_acc=0.125, avg_tr_acc=0.127, avg_tr_loss=2.31][A
Batch:   2%|2         | 149/6250 [01:44<1:11:33,  1.42it/s, train_loss=2.24, train_acc=0.125, avg_tr_acc=0.124, avg_tr_loss=2.3] [A
Batch:   3%|2         | 164/6250 [01:55<1:11:26,  1.42it/s, train_loss=2.35, train_acc=0.125, avg_tr_acc=0.123, avg_tr_loss=2.3][A
Batch:   3%|2         | 179/6250 [02:05<1:11:11,  1.42it/s, train_loss=2.25, train_acc=0.125, avg_tr_acc=0.122, avg_tr_loss=2.3][A
Batch:   3%|3         | 194/6250 [02:16<1:10:57,  1.42it/s, train_loss=2.29, train_acc=0.125, avg_tr_acc=0.121, avg_tr_loss=2.3][A
Batch:   3%|3         | 209/6250 [02:26<1:10:45,  1.42it/s, train_loss=2.2, train_acc=0.125, avg_tr_acc=0.123, avg_tr_loss=2.3] [A
Batch:   4%|3         | 224/6250 [02:37<1:10:35,  1.42it/s, train_loss=2.04, train_acc=0.125, avg_tr_acc=0.123, avg_tr_loss=2.29][A
Batch:   4%|3         | 239/6250 [02:47<1:10:25,  1.42it/s, train_loss=2.35, train_acc=0, avg_tr_acc=0.127, avg_tr_loss=2.28]    [A
Batch:   4%|4         | 254/6250 [02:58<1:10:12,  1.42it/s, train_loss=2.2, train_acc=0.125, avg_tr_acc=0.127, avg_tr_loss=2.28][A
Batch:   4%|4         | 269/6250 [03:08<1:09:59,  1.42it/s, train_loss=2.33, train_acc=0, avg_tr_acc=0.133, avg_tr_loss=2.28]   [A
Batch:   5%|4         | 284/6250 [03:19<1:09:49,  1.42it/s, train_loss=2.11, train_acc=0.125, avg_tr_acc=0.136, avg_tr_loss=2.27][A
Batch:   5%|4         | 299/6250 [03:29<1:09:40,  1.42it/s, train_loss=1.84, train_acc=0.5, avg_tr_acc=0.139, avg_tr_loss=2.27]  [A
Batch:   5%|4         | 299/6250 [03:39<1:09:40,  1.42it/s, train_loss=2.23, train_acc=0, avg_tr_acc=0.139, avg_tr_loss=2.27]  [A
Batch:   5%|5         | 314/6250 [03:40<1:09:28,  1.42it/s, train_loss=1.96, train_acc=0.125, avg_tr_acc=0.139, avg_tr_loss=2.26][A
Batch:   5%|5         | 329/6250 [03:50<1:09:17,  1.42it/s, train_loss=2.17, train_acc=0.125, avg_tr_acc=0.142, avg_tr_loss=2.26][A
Batch:   6%|5         | 344/6250 [04:01<1:09:04,  1.42it/s, train_loss=2.34, train_acc=0.25, avg_tr_acc=0.145, avg_tr_loss=2.25] [A
Batch:   6%|5         | 359/6250 [04:11<1:08:50,  1.43it/s, train_loss=2.16, train_acc=0.25, avg_tr_acc=0.146, avg_tr_loss=2.25][A
Batch:   6%|5         | 374/6250 [04:22<1:08:39,  1.43it/s, train_loss=2.57, train_acc=0.125, avg_tr_acc=0.146, avg_tr_loss=2.25][A
Batch:   6%|6         | 389/6250 [04:32<1:08:26,  1.43it/s, train_loss=2.09, train_acc=0.25, avg_tr_acc=0.147, avg_tr_loss=2.25] [A
Batch:   6%|6         | 404/6250 [04:43<1:08:16,  1.43it/s, train_loss=1.9, train_acc=0.625, avg_tr_acc=0.151, avg_tr_loss=2.24][A
Batch:   7%|6         | 419/6250 [04:54<1:08:06,  1.43it/s, train_loss=2.12, train_acc=0.25, avg_tr_acc=0.152, avg_tr_loss=2.24][A
Batch:   7%|6         | 434/6250 [05:04<1:07:56,  1.43it/s, train_loss=1.88, train_acc=0.25, avg_tr_acc=0.154, avg_tr_loss=2.24][A
Batch:   7%|7         | 449/6250 [05:15<1:07:47,  1.43it/s, train_loss=2.25, train_acc=0.125, avg_tr_acc=0.155, avg_tr_loss=2.23][A
Batch:   7%|7         | 464/6250 [05:25<1:07:37,  1.43it/s, train_loss=1.9, train_acc=0.125, avg_tr_acc=0.154, avg_tr_loss=2.23] [A
Batch:   8%|7         | 479/6250 [05:36<1:07:32,  1.42it/s, train_loss=2.23, train_acc=0, avg_tr_acc=0.154, avg_tr_loss=2.22]   [A
Batch:   8%|7         | 494/6250 [05:46<1:07:21,  1.42it/s, train_loss=2.22, train_acc=0.375, avg_tr_acc=0.155, avg_tr_loss=2.22][A
Batch:   8%|8         | 509/6250 [05:57<1:07:10,  1.42it/s, train_loss=2.45, train_acc=0.125, avg_tr_acc=0.157, avg_tr_loss=2.22][A
Batch:   8%|8         | 524/6250 [06:07<1:06:56,  1.43it/s, train_loss=2.22, train_acc=0.125, avg_tr_acc=0.157, avg_tr_loss=2.22][A
Batch:   9%|8         | 539/6250 [06:18<1:06:50,  1.42it/s, train_loss=2.01, train_acc=0.5, avg_tr_acc=0.159, avg_tr_loss=2.22]  [A
