/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/interpolation.py:5: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  x = torch.tensor(x)
/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/interpolation.py:6: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  y = torch.tensor(y)
/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/ShiftedConv2d.py:32: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.shifts = torch.tensor(shifts)
Epoch:   0%|          | 0/40 [00:00<?, ?it/s]
Batch:   0%|          | 0/6250 [00:00<?, ?it/s][A
Batch:   0%|          | 14/6250 [00:10<1:14:24,  1.40it/s, train_loss=2.34, train_acc=0.125, avg_tr_acc=0.0893, avg_tr_loss=2.31][A
Batch:   0%|          | 29/6250 [00:20<1:12:59,  1.42it/s, train_loss=2.25, train_acc=0.125, avg_tr_acc=0.116, avg_tr_loss=2.29] [A
Batch:   1%|          | 44/6250 [00:30<1:12:24,  1.43it/s, train_loss=2.25, train_acc=0.25, avg_tr_acc=0.116, avg_tr_loss=2.3]  [A
Batch:   1%|          | 59/6250 [00:41<1:12:07,  1.43it/s, train_loss=2.26, train_acc=0, avg_tr_acc=0.11, avg_tr_loss=2.29]   [A
Batch:   1%|1         | 74/6250 [00:51<1:11:48,  1.43it/s, train_loss=2.25, train_acc=0, avg_tr_acc=0.106, avg_tr_loss=2.29][A
Batch:   1%|1         | 89/6250 [01:02<1:11:43,  1.43it/s, train_loss=2.24, train_acc=0.25, avg_tr_acc=0.108, avg_tr_loss=2.29][A
Batch:   2%|1         | 104/6250 [01:12<1:11:56,  1.42it/s, train_loss=2.23, train_acc=0, avg_tr_acc=0.112, avg_tr_loss=2.29]  [A
Batch:   2%|1         | 119/6250 [01:23<1:11:44,  1.42it/s, train_loss=2.22, train_acc=0.25, avg_tr_acc=0.116, avg_tr_loss=2.28][A
Batch:   2%|2         | 134/6250 [01:34<1:11:45,  1.42it/s, train_loss=1.98, train_acc=0.125, avg_tr_acc=0.124, avg_tr_loss=2.26][A
Batch:   2%|2         | 149/6250 [01:44<1:11:50,  1.42it/s, train_loss=2.08, train_acc=0.125, avg_tr_acc=0.132, avg_tr_loss=2.26][A
