/N/soft/rhel7/deeplearning/Python-3.9.6/lib/python3.9/site-packages/torchvision/datasets/mnist.py:498: UserWarning: The given NumPy array is not writeable, and PyTorch does not support non-writeable tensors. This means you can write to the underlying (supposedly non-writeable) NumPy array using the tensor. You may want to copy the array to protect its data or make it writeable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at  /pytorch/torch/csrc/utils/tensor_numpy.cpp:180.)
  return torch.from_numpy(parsed.astype(m[2], copy=False)).view(*s)
/geode2/home/u080/skarukas/Carbonate/SITH/models/logpolar/lptransform.py:156: UserWarning: Use of index_put_ on expanded tensors is deprecated. Please clone() the tensor before performing this operation. This also applies to advanced indexing e.g. tensor[indices] = tensor (Triggered internally at  /pytorch/aten/src/ATen/native/TensorAdvancedIndexing.cpp:395.)
  tau[tau <= 0] = 0
Epoch:   0%|          | 0/40 [00:00<?, ?it/s]
Batch:   0%|          | 0/1875 [00:00<?, ?it/s][A/N/soft/rhel7/deeplearning/Python-3.9.6/lib/python3.9/site-packages/torch/nn/functional.py:718: UserWarning: Named tensors and all their associated APIs are an experimental feature and subject to change. Please do not use them for anything important until they are released as stable. (Triggered internally at  /pytorch/c10/core/TensorImpl.h:1156.)
  return torch.max_pool2d(input, kernel_size, stride, padding, dilation, ceil_mode)

Batch:   0%|          | 0/1875 [00:00<?, ?it/s, train_loss=44.6, train_acc=0.125, avg_tr_acc=0.125, avg_tr_loss=44.6][A
Batch:   0%|          | 1/1875 [00:00<18:34,  1.68it/s, train_loss=44.6, train_acc=0.125, avg_tr_acc=0.125, avg_tr_loss=44.6][A
Batch:   0%|          | 1/1875 [00:01<18:34,  1.68it/s, train_loss=30.2, train_acc=0.0625, avg_tr_acc=0.0938, avg_tr_loss=37.4][A
Batch:   0%|          | 2/1875 [00:01<16:31,  1.89it/s, train_loss=30.2, train_acc=0.0625, avg_tr_acc=0.0938, avg_tr_loss=37.4][A
Batch:   0%|          | 2/1875 [00:01<16:31,  1.89it/s, train_loss=15.5, train_acc=0.0938, avg_tr_acc=0.0938, avg_tr_loss=30.1][A
Batch:   0%|          | 3/1875 [00:01<15:51,  1.97it/s, train_loss=15.5, train_acc=0.0938, avg_tr_acc=0.0938, avg_tr_loss=30.1][A
Batch:   0%|          | 3/1875 [00:02<15:51,  1.97it/s, train_loss=16.3, train_acc=0.156, avg_tr_acc=0.109, avg_tr_loss=26.6]  [A
Batch:   0%|          | 4/1875 [00:02<15:32,  2.01it/s, train_loss=16.3, train_acc=0.156, avg_tr_acc=0.109, avg_tr_loss=26.6][A
Batch:   0%|          | 4/1875 [00:02<15:32,  2.01it/s, train_loss=15.1, train_acc=0.0938, avg_tr_acc=0.106, avg_tr_loss=24.3][A
Batch:   0%|          | 5/1875 [00:02<15:21,  2.03it/s, train_loss=15.1, train_acc=0.0938, avg_tr_acc=0.106, avg_tr_loss=24.3][A
Batch:   0%|          | 5/1875 [00:03<15:21,  2.03it/s, train_loss=14.1, train_acc=0.125, avg_tr_acc=0.109, avg_tr_loss=22.6] [A
Batch:   0%|          | 6/1875 [00:03<15:15,  2.04it/s, train_loss=14.1, train_acc=0.125, avg_tr_acc=0.109, avg_tr_loss=22.6][A
Batch:   0%|          | 6/1875 [00:03<15:15,  2.04it/s, train_loss=10.5, train_acc=0.125, avg_tr_acc=0.112, avg_tr_loss=20.9][A
Batch:   0%|          | 7/1875 [00:03<15:11,  2.05it/s, train_loss=10.5, train_acc=0.125, avg_tr_acc=0.112, avg_tr_loss=20.9][A
Batch:   0%|          | 7/1875 [00:03<15:11,  2.05it/s, train_loss=11.7, train_acc=0.0938, avg_tr_acc=0.109, avg_tr_loss=19.7][A
Batch:   0%|          | 8/1875 [00:03<15:08,  2.05it/s, train_loss=11.7, train_acc=0.0938, avg_tr_acc=0.109, avg_tr_loss=19.7][A
Batch:   0%|          | 8/1875 [00:04<15:08,  2.05it/s, train_loss=8.69, train_acc=0.156, avg_tr_acc=0.115, avg_tr_loss=18.5] [A
Batch:   0%|          | 9/1875 [00:04<15:06,  2.06it/s, train_loss=8.69, train_acc=0.156, avg_tr_acc=0.115, avg_tr_loss=18.5][A
Batch:   0%|          | 9/1875 [00:04<15:06,  2.06it/s, train_loss=8.05, train_acc=0.0938, avg_tr_acc=0.113, avg_tr_loss=17.5][A
Batch:   1%|          | 10/1875 [00:04<15:05,  2.06it/s, train_loss=8.05, train_acc=0.0938, avg_tr_acc=0.113, avg_tr_loss=17.5][A
Batch:   1%|          | 10/1875 [00:05<15:05,  2.06it/s, train_loss=6.03, train_acc=0.344, avg_tr_acc=0.134, avg_tr_loss=16.4] [A
Batch:   1%|          | 11/1875 [00:05<15:03,  2.06it/s, train_loss=6.03, train_acc=0.344, avg_tr_acc=0.134, avg_tr_loss=16.4][A
Batch:   1%|          | 11/1875 [00:05<15:03,  2.06it/s, train_loss=7.54, train_acc=0.188, avg_tr_acc=0.138, avg_tr_loss=15.7][A
Batch:   1%|          | 12/1875 [00:05<15:02,  2.06it/s, train_loss=7.54, train_acc=0.188, avg_tr_acc=0.138, avg_tr_loss=15.7][A
Batch:   1%|          | 12/1875 [00:06<15:02,  2.06it/s, train_loss=5.51, train_acc=0.125, avg_tr_acc=0.137, avg_tr_loss=14.9][A
