/N/soft/sles15/deeplearning/Python-3.9.7/lib/python3.9/site-packages/torchvision/datasets/mnist.py:498: UserWarning: The given NumPy array is not writeable, and PyTorch does not support non-writeable tensors. This means you can write to the underlying (supposedly non-writeable) NumPy array using the tensor. You may want to copy the array to protect its data or make it writeable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at  ../torch/csrc/utils/tensor_numpy.cpp:180.)
  return torch.from_numpy(parsed.astype(m[2], copy=False)).view(*s)
Epoch:   0%|          | 0/40 [00:00<?, ?it/s]
Batch:   0%|          | 0/1875 [00:00<?, ?it/s][A
Batch:   2%|1         | 37/1875 [00:10<08:26,  3.63it/s, train_loss=2.09, train_acc=0.344, avg_tr_acc=0.156, avg_tr_loss=2.98][A
Batch:   4%|3         | 74/1875 [00:20<08:15,  3.63it/s, train_loss=1.87, train_acc=0.406, avg_tr_acc=0.282, avg_tr_loss=2.4] [A
Batch:   6%|5         | 111/1875 [00:30<08:05,  3.64it/s, train_loss=1.04, train_acc=0.656, avg_tr_acc=0.378, avg_tr_loss=2.04][A
Batch:   8%|7         | 148/1875 [00:40<07:54,  3.64it/s, train_loss=1.08, train_acc=0.594, avg_tr_acc=0.453, avg_tr_loss=1.79][A
Batch:  10%|9         | 185/1875 [00:50<07:44,  3.64it/s, train_loss=0.817, train_acc=0.719, avg_tr_acc=0.512, avg_tr_loss=1.6][A
Batch:  12%|#1        | 222/1875 [01:01<07:34,  3.64it/s, train_loss=0.657, train_acc=0.812, avg_tr_acc=0.558, avg_tr_loss=1.44][A
Batch:  14%|#3        | 259/1875 [01:11<07:24,  3.64it/s, train_loss=0.711, train_acc=0.656, avg_tr_acc=0.593, avg_tr_loss=1.33][A
Batch:  16%|#5        | 296/1875 [01:21<07:13,  3.64it/s, train_loss=0.78, train_acc=0.719, avg_tr_acc=0.623, avg_tr_loss=1.23] [A
Batch:  18%|#7        | 333/1875 [01:31<07:03,  3.64it/s, train_loss=0.433, train_acc=0.875, avg_tr_acc=0.649, avg_tr_loss=1.15][A
Batch:  20%|#9        | 370/1875 [01:41<06:53,  3.64it/s, train_loss=0.183, train_acc=1, avg_tr_acc=0.672, avg_tr_loss=1.08]    [A
Batch:  22%|##1       | 407/1875 [01:51<06:43,  3.64it/s, train_loss=0.443, train_acc=0.875, avg_tr_acc=0.692, avg_tr_loss=1.02][A
