/N/soft/sles15/deeplearning/Python-3.9.7/lib/python3.9/site-packages/torchvision/datasets/mnist.py:498: UserWarning: The given NumPy array is not writeable, and PyTorch does not support non-writeable tensors. This means you can write to the underlying (supposedly non-writeable) NumPy array using the tensor. You may want to copy the array to protect its data or make it writeable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at  ../torch/csrc/utils/tensor_numpy.cpp:180.)
  return torch.from_numpy(parsed.astype(m[2], copy=False)).view(*s)
/geode2/home/u080/skarukas/Carbonate/SITH/models/logpolar/lptransform.py:158: UserWarning: Use of index_put_ on expanded tensors is deprecated. Please clone() the tensor before performing this operation. This also applies to advanced indexing e.g. tensor[indices] = tensor (Triggered internally at  ../aten/src/ATen/native/TensorAdvancedIndexing.cpp:395.)
  tau[tau <= 0] = 0
Epoch:   0%|          | 0/40 [00:00<?, ?it/s]
Batch:   0%|          | 0/7500 [00:00<?, ?it/s][A
Batch:   0%|          | 27/7500 [00:10<47:42,  2.61it/s, train_loss=3.35, train_acc=0.125, avg_tr_acc=0.0833, avg_tr_loss=44.9][A
Batch:   1%|          | 55/7500 [00:20<46:14,  2.68it/s, train_loss=2.18, train_acc=0.25, avg_tr_acc=0.148, avg_tr_loss=23.3]  [A
Batch:   1%|1         | 83/7500 [00:30<45:41,  2.71it/s, train_loss=2.29, train_acc=0.25, avg_tr_acc=0.197, avg_tr_loss=16.1][A
Batch:   1%|1         | 111/7500 [00:41<45:20,  2.72it/s, train_loss=1.93, train_acc=0.375, avg_tr_acc=0.223, avg_tr_loss=12.6][A
Batch:   2%|1         | 139/7500 [00:51<45:04,  2.72it/s, train_loss=1.83, train_acc=0.5, avg_tr_acc=0.239, avg_tr_loss=10.4]  [A
Batch:   2%|2         | 167/7500 [01:01<44:50,  2.73it/s, train_loss=2.17, train_acc=0.375, avg_tr_acc=0.245, avg_tr_loss=9.01][A
Batch:   3%|2         | 195/7500 [01:11<44:37,  2.73it/s, train_loss=1.56, train_acc=0.5, avg_tr_acc=0.263, avg_tr_loss=7.98]  [A
Batch:   3%|2         | 223/7500 [01:22<44:25,  2.73it/s, train_loss=2.16, train_acc=0.25, avg_tr_acc=0.279, avg_tr_loss=7.2][A
Batch:   3%|3         | 251/7500 [01:32<44:14,  2.73it/s, train_loss=1.95, train_acc=0.5, avg_tr_acc=0.295, avg_tr_loss=6.58][A
Batch:   4%|3         | 279/7500 [01:42<44:02,  2.73it/s, train_loss=1.6, train_acc=0.375, avg_tr_acc=0.303, avg_tr_loss=6.09][A
Batch:   4%|4         | 307/7500 [01:52<43:51,  2.73it/s, train_loss=1.14, train_acc=0.625, avg_tr_acc=0.32, avg_tr_loss=5.67][A
Batch:   4%|4         | 335/7500 [02:03<43:40,  2.73it/s, train_loss=2.24, train_acc=0.375, avg_tr_acc=0.329, avg_tr_loss=5.33][A
Batch:   5%|4         | 363/7500 [02:13<43:30,  2.73it/s, train_loss=1.13, train_acc=0.75, avg_tr_acc=0.337, avg_tr_loss=5.04] [A
