/N/soft/sles15/deeplearning/Python-3.9.7/lib/python3.9/site-packages/torchvision/datasets/mnist.py:498: UserWarning: The given NumPy array is not writeable, and PyTorch does not support non-writeable tensors. This means you can write to the underlying (supposedly non-writeable) NumPy array using the tensor. You may want to copy the array to protect its data or make it writeable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at  ../torch/csrc/utils/tensor_numpy.cpp:180.)
  return torch.from_numpy(parsed.astype(m[2], copy=False)).view(*s)
Epoch:   0%|          | 0/40 [00:00<?, ?it/s]
Batch:   0%|          | 0/1875 [00:00<?, ?it/s][A
Batch:   5%|5         | 100/1875 [00:10<02:59,  9.92it/s, train_loss=1.77, train_acc=0.406, avg_tr_acc=0.196, avg_tr_loss=2.25][A
Batch:  11%|#         | 203/1875 [00:20<02:45, 10.11it/s, train_loss=1.39, train_acc=0.531, avg_tr_acc=0.312, avg_tr_loss=1.95][A
Batch:  16%|#6        | 306/1875 [00:30<02:34, 10.18it/s, train_loss=1.35, train_acc=0.562, avg_tr_acc=0.395, avg_tr_loss=1.74][A
Batch:  22%|##1       | 409/1875 [00:40<02:23, 10.21it/s, train_loss=0.97, train_acc=0.75, avg_tr_acc=0.452, avg_tr_loss=1.59] [A
Batch:  27%|##7       | 512/1875 [00:50<02:13, 10.22it/s, train_loss=0.944, train_acc=0.781, avg_tr_acc=0.499, avg_tr_loss=1.47][A
Batch:  33%|###2      | 615/1875 [01:00<02:03, 10.23it/s, train_loss=0.76, train_acc=0.656, avg_tr_acc=0.537, avg_tr_loss=1.36] [A
Batch:  38%|###8      | 718/1875 [01:10<01:53, 10.24it/s, train_loss=1.11, train_acc=0.688, avg_tr_acc=0.567, avg_tr_loss=1.28][A
Batch:  44%|####3     | 821/1875 [01:20<01:42, 10.24it/s, train_loss=0.889, train_acc=0.75, avg_tr_acc=0.591, avg_tr_loss=1.22][A
Batch:  49%|####9     | 924/1875 [01:30<01:32, 10.25it/s, train_loss=1.06, train_acc=0.688, avg_tr_acc=0.613, avg_tr_loss=1.16][A
Batch:  55%|#####4    | 1027/1875 [01:40<01:22, 10.25it/s, train_loss=0.706, train_acc=0.812, avg_tr_acc=0.633, avg_tr_loss=1.1][A
Batch:  60%|######    | 1130/1875 [01:50<01:12, 10.25it/s, train_loss=0.599, train_acc=0.844, avg_tr_acc=0.65, avg_tr_loss=1.05][A
Batch:  66%|######5   | 1233/1875 [02:00<01:02, 10.25it/s, train_loss=0.448, train_acc=0.812, avg_tr_acc=0.664, avg_tr_loss=1.01][A
Batch:  71%|#######1  | 1336/1875 [02:10<00:52, 10.25it/s, train_loss=0.429, train_acc=0.906, avg_tr_acc=0.678, avg_tr_loss=0.977][A
Batch:  77%|#######6  | 1439/1875 [02:20<00:42, 10.25it/s, train_loss=0.349, train_acc=0.875, avg_tr_acc=0.69, avg_tr_loss=0.944] [A
Batch:  82%|########2 | 1542/1875 [02:30<00:32, 10.25it/s, train_loss=0.582, train_acc=0.812, avg_tr_acc=0.7, avg_tr_loss=0.916] [A
Batch:  88%|########7 | 1645/1875 [02:40<00:22, 10.25it/s, train_loss=0.495, train_acc=0.75, avg_tr_acc=0.71, avg_tr_loss=0.89] [A
Batch:  93%|#########3| 1748/1875 [02:50<00:12, 10.25it/s, train_loss=0.534, train_acc=0.812, avg_tr_acc=0.717, avg_tr_loss=0.868][A
