/N/soft/sles15/deeplearning/Python-3.9.7/lib/python3.9/site-packages/torchvision/datasets/mnist.py:498: UserWarning: The given NumPy array is not writeable, and PyTorch does not support non-writeable tensors. This means you can write to the underlying (supposedly non-writeable) NumPy array using the tensor. You may want to copy the array to protect its data or make it writeable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at  ../torch/csrc/utils/tensor_numpy.cpp:180.)
  return torch.from_numpy(parsed.astype(m[2], copy=False)).view(*s)

Epoch:   0%|          | 0/40 [00:00<?, ?it/s]

Batch:   0%|          | 0/1875 [00:00<?, ?it/s][A

Batch:   4%|4         | 78/1875 [00:10<03:52,  7.73it/s, train_loss=2, train_acc=0.281, avg_tr_acc=0.176, avg_tr_loss=2.26][A

Batch:   9%|8         | 161/1875 [00:20<03:33,  8.04it/s, train_loss=1.57, train_acc=0.375, avg_tr_acc=0.277, avg_tr_loss=2][A

Batch:  13%|#3        | 244/1875 [00:30<03:20,  8.14it/s, train_loss=1.2, train_acc=0.562, avg_tr_acc=0.371, avg_tr_loss=1.76][A

Batch:  17%|#7        | 327/1875 [00:40<03:09,  8.18it/s, train_loss=1.14, train_acc=0.688, avg_tr_acc=0.441, avg_tr_loss=1.58][A

Batch:  22%|##1       | 410/1875 [00:50<02:58,  8.21it/s, train_loss=0.715, train_acc=0.812, avg_tr_acc=0.496, avg_tr_loss=1.43][A

Batch:  26%|##6       | 493/1875 [01:00<02:47,  8.23it/s, train_loss=0.894, train_acc=0.719, avg_tr_acc=0.54, avg_tr_loss=1.32] [A

Batch:  31%|###       | 576/1875 [01:10<02:37,  8.24it/s, train_loss=0.496, train_acc=0.875, avg_tr_acc=0.576, avg_tr_loss=1.23][A

Batch:  35%|###5      | 659/1875 [01:20<02:27,  8.25it/s, train_loss=0.379, train_acc=0.938, avg_tr_acc=0.605, avg_tr_loss=1.15][A

Batch:  40%|###9      | 742/1875 [01:30<02:17,  8.26it/s, train_loss=0.452, train_acc=0.812, avg_tr_acc=0.633, avg_tr_loss=1.07][A

Batch:  44%|####4     | 825/1875 [01:40<02:07,  8.26it/s, train_loss=0.829, train_acc=0.781, avg_tr_acc=0.655, avg_tr_loss=1.01][A

Batch:  48%|####8     | 908/1875 [01:50<01:57,  8.26it/s, train_loss=0.507, train_acc=0.844, avg_tr_acc=0.675, avg_tr_loss=0.96][A

Batch:  53%|#####2    | 991/1875 [02:00<01:46,  8.26it/s, train_loss=0.516, train_acc=0.812, avg_tr_acc=0.69, avg_tr_loss=0.918][A

Batch:  57%|#####7    | 1074/1875 [02:10<01:36,  8.27it/s, train_loss=0.529, train_acc=0.875, avg_tr_acc=0.706, avg_tr_loss=0.876][A

Batch:  62%|######1   | 1157/1875 [02:20<01:26,  8.27it/s, train_loss=0.249, train_acc=0.906, avg_tr_acc=0.718, avg_tr_loss=0.841][A

Batch:  66%|######6   | 1240/1875 [02:30<01:16,  8.27it/s, train_loss=0.456, train_acc=0.844, avg_tr_acc=0.729, avg_tr_loss=0.81] [A

Batch:  71%|#######   | 1323/1875 [02:40<01:06,  8.27it/s, train_loss=0.321, train_acc=0.875, avg_tr_acc=0.739, avg_tr_loss=0.785][A

Batch:  75%|#######4  | 1406/1875 [02:50<00:56,  8.27it/s, train_loss=0.269, train_acc=0.938, avg_tr_acc=0.748, avg_tr_loss=0.758][A

Batch:  79%|#######9  | 1489/1875 [03:00<00:46,  8.27it/s, train_loss=0.235, train_acc=0.938, avg_tr_acc=0.756, avg_tr_loss=0.735][A

Batch:  84%|########3 | 1572/1875 [03:10<00:36,  8.27it/s, train_loss=0.389, train_acc=0.875, avg_tr_acc=0.763, avg_tr_loss=0.715][A

Batch:  88%|########8 | 1655/1875 [03:20<00:26,  8.27it/s, train_loss=0.319, train_acc=0.875, avg_tr_acc=0.77, avg_tr_loss=0.694] [A

Batch:  93%|#########2| 1738/1875 [03:30<00:16,  8.27it/s, train_loss=0.166, train_acc=0.969, avg_tr_acc=0.776, avg_tr_loss=0.677][A

Batch:  97%|#########7| 1821/1875 [03:40<00:06,  8.27it/s, train_loss=0.298, train_acc=0.906, avg_tr_acc=0.781, avg_tr_loss=0.661][A

                                                                                                                                  [A
Epoch:   0%|          | 0/40 [03:57<?, ?it/s, train_loss=0.65, train_acc=0.785, val_loss=0.274, val_acc=0.916]
Epoch:   2%|2         | 1/40 [03:57<2:34:30, 237.70s/it, train_loss=0.65, train_acc=0.785, val_loss=0.274, val_acc=0.916]

Batch:   0%|          | 0/1875 [00:00<?, ?it/s][A

Batch:   4%|4         | 83/1875 [00:10<03:36,  8.27it/s, train_loss=0.155, train_acc=0.938, avg_tr_acc=0.914, avg_tr_loss=0.273][A

Batch:   9%|8         | 166/1875 [00:20<03:26,  8.27it/s, train_loss=0.278, train_acc=0.938, avg_tr_acc=0.911, avg_tr_loss=0.283][A
