/N/soft/sles15/deeplearning/Python-3.9.7/lib/python3.9/site-packages/torchvision/datasets/mnist.py:498: UserWarning: The given NumPy array is not writeable, and PyTorch does not support non-writeable tensors. This means you can write to the underlying (supposedly non-writeable) NumPy array using the tensor. You may want to copy the array to protect its data or make it writeable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at  ../torch/csrc/utils/tensor_numpy.cpp:180.)
  return torch.from_numpy(parsed.astype(m[2], copy=False)).view(*s)

Epoch:   0%|          | 0/40 [00:00<?, ?it/s]

Batch:   0%|          | 0/1875 [00:00<?, ?it/s][A

Batch:   4%|4         | 76/1875 [00:10<03:57,  7.57it/s, train_loss=2.17, train_acc=0.344, avg_tr_acc=0.145, avg_tr_loss=2.35][A

Batch:   8%|8         | 159/1875 [00:20<03:34,  7.99it/s, train_loss=1.73, train_acc=0.344, avg_tr_acc=0.221, avg_tr_loss=2.17][A

Batch:  13%|#2        | 242/1875 [00:30<03:20,  8.13it/s, train_loss=1.59, train_acc=0.438, avg_tr_acc=0.304, avg_tr_loss=1.95][A

Batch:  17%|#7        | 325/1875 [00:40<03:09,  8.19it/s, train_loss=1.21, train_acc=0.625, avg_tr_acc=0.369, avg_tr_loss=1.78][A

Batch:  22%|##1       | 408/1875 [00:50<02:58,  8.23it/s, train_loss=0.947, train_acc=0.656, avg_tr_acc=0.42, avg_tr_loss=1.65][A

Batch:  26%|##6       | 491/1875 [01:00<02:47,  8.25it/s, train_loss=1.11, train_acc=0.625, avg_tr_acc=0.458, avg_tr_loss=1.55][A

Batch:  31%|###       | 574/1875 [01:10<02:37,  8.27it/s, train_loss=0.714, train_acc=0.719, avg_tr_acc=0.489, avg_tr_loss=1.46][A

Batch:  35%|###5      | 658/1875 [01:20<02:26,  8.28it/s, train_loss=0.675, train_acc=0.844, avg_tr_acc=0.518, avg_tr_loss=1.39][A

Batch:  40%|###9      | 742/1875 [01:30<02:16,  8.29it/s, train_loss=0.744, train_acc=0.719, avg_tr_acc=0.542, avg_tr_loss=1.32][A

Batch:  44%|####4     | 826/1875 [01:40<02:06,  8.29it/s, train_loss=0.521, train_acc=0.75, avg_tr_acc=0.563, avg_tr_loss=1.26] [A

Batch:  49%|####8     | 910/1875 [01:50<01:56,  8.29it/s, train_loss=0.455, train_acc=0.844, avg_tr_acc=0.583, avg_tr_loss=1.21][A

Batch:  53%|#####3    | 994/1875 [02:00<01:46,  8.30it/s, train_loss=0.495, train_acc=0.812, avg_tr_acc=0.601, avg_tr_loss=1.16][A

Batch:  57%|#####7    | 1078/1875 [02:10<01:36,  8.30it/s, train_loss=0.679, train_acc=0.781, avg_tr_acc=0.617, avg_tr_loss=1.12][A

Batch:  62%|######1   | 1162/1875 [02:20<01:25,  8.30it/s, train_loss=0.512, train_acc=0.812, avg_tr_acc=0.631, avg_tr_loss=1.08][A

Batch:  66%|######6   | 1246/1875 [02:31<01:15,  8.30it/s, train_loss=0.699, train_acc=0.844, avg_tr_acc=0.645, avg_tr_loss=1.05][A

Batch:  71%|#######   | 1330/1875 [02:41<01:05,  8.30it/s, train_loss=0.397, train_acc=0.875, avg_tr_acc=0.657, avg_tr_loss=1.01][A

Batch:  75%|#######5  | 1414/1875 [02:51<00:55,  8.30it/s, train_loss=0.567, train_acc=0.781, avg_tr_acc=0.668, avg_tr_loss=0.984][A

Batch:  80%|#######9  | 1498/1875 [03:01<00:45,  8.30it/s, train_loss=0.49, train_acc=0.812, avg_tr_acc=0.677, avg_tr_loss=0.958] [A

Batch:  84%|########4 | 1582/1875 [03:11<00:35,  8.30it/s, train_loss=0.696, train_acc=0.812, avg_tr_acc=0.686, avg_tr_loss=0.934][A

Batch:  89%|########8 | 1666/1875 [03:21<00:25,  8.30it/s, train_loss=0.347, train_acc=0.906, avg_tr_acc=0.695, avg_tr_loss=0.911][A

Batch:  93%|#########3| 1750/1875 [03:31<00:15,  8.30it/s, train_loss=0.456, train_acc=0.844, avg_tr_acc=0.702, avg_tr_loss=0.89] [A

Batch:  98%|#########7| 1834/1875 [03:41<00:04,  8.30it/s, train_loss=0.182, train_acc=0.969, avg_tr_acc=0.71, avg_tr_loss=0.869][A

                                                                                                                                 [A
Epoch:   0%|          | 0/40 [03:56<?, ?it/s, train_loss=0.86, train_acc=0.713, val_loss=0.404, val_acc=0.878]
Epoch:   2%|2         | 1/40 [03:56<2:33:54, 236.77s/it, train_loss=0.86, train_acc=0.713, val_loss=0.404, val_acc=0.878]

Batch:   0%|          | 0/1875 [00:00<?, ?it/s][A

Batch:   4%|4         | 84/1875 [00:10<03:35,  8.30it/s, train_loss=0.232, train_acc=0.938, avg_tr_acc=0.863, avg_tr_loss=0.448][A

Batch:   9%|8         | 168/1875 [00:20<03:25,  8.30it/s, train_loss=0.308, train_acc=0.906, avg_tr_acc=0.873, avg_tr_loss=0.421][A

Batch:  13%|#3        | 252/1875 [00:30<03:15,  8.30it/s, train_loss=0.475, train_acc=0.812, avg_tr_acc=0.878, avg_tr_loss=0.408][A

Batch:  18%|#7        | 336/1875 [00:40<03:05,  8.30it/s, train_loss=0.718, train_acc=0.812, avg_tr_acc=0.878, avg_tr_loss=0.408][A

Batch:  22%|##2       | 420/1875 [00:50<02:55,  8.30it/s, train_loss=0.486, train_acc=0.844, avg_tr_acc=0.877, avg_tr_loss=0.41] [A

Batch:  27%|##6       | 504/1875 [01:00<02:45,  8.30it/s, train_loss=0.181, train_acc=0.969, avg_tr_acc=0.879, avg_tr_loss=0.4] [A

Batch:  31%|###1      | 588/1875 [01:10<02:34,  8.30it/s, train_loss=0.236, train_acc=0.906, avg_tr_acc=0.878, avg_tr_loss=0.402][A

Batch:  36%|###5      | 672/1875 [01:20<02:24,  8.30it/s, train_loss=0.453, train_acc=0.844, avg_tr_acc=0.879, avg_tr_loss=0.399][A

Batch:  40%|####      | 756/1875 [01:31<02:14,  8.30it/s, train_loss=0.124, train_acc=0.969, avg_tr_acc=0.88, avg_tr_loss=0.398] [A

Batch:  45%|####4     | 840/1875 [01:41<02:04,  8.30it/s, train_loss=0.135, train_acc=0.969, avg_tr_acc=0.881, avg_tr_loss=0.393][A

Batch:  49%|####9     | 924/1875 [01:51<01:54,  8.31it/s, train_loss=0.343, train_acc=0.844, avg_tr_acc=0.881, avg_tr_loss=0.392][A
