/N/soft/rhel7/deeplearning/Python-3.9.6/lib/python3.9/site-packages/torchvision/datasets/mnist.py:498: UserWarning: The given NumPy array is not writeable, and PyTorch does not support non-writeable tensors. This means you can write to the underlying (supposedly non-writeable) NumPy array using the tensor. You may want to copy the array to protect its data or make it writeable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at  /pytorch/torch/csrc/utils/tensor_numpy.cpp:180.)
  return torch.from_numpy(parsed.astype(m[2], copy=False)).view(*s)
/geode2/home/u080/skarukas/Carbonate/SITH/models/logpolar/lptransform.py:156: UserWarning: Use of index_put_ on expanded tensors is deprecated. Please clone() the tensor before performing this operation. This also applies to advanced indexing e.g. tensor[indices] = tensor (Triggered internally at  /pytorch/aten/src/ATen/native/TensorAdvancedIndexing.cpp:395.)
  tau[tau <= 0] = 0
Epoch:   0%|          | 0/40 [00:00<?, ?it/s]
Batch:   0%|          | 0/1875 [00:00<?, ?it/s][A/N/soft/rhel7/deeplearning/Python-3.9.6/lib/python3.9/site-packages/torch/nn/functional.py:718: UserWarning: Named tensors and all their associated APIs are an experimental feature and subject to change. Please do not use them for anything important until they are released as stable. (Triggered internally at  /pytorch/c10/core/TensorImpl.h:1156.)
  return torch.max_pool2d(input, kernel_size, stride, padding, dilation, ceil_mode)

Batch:   0%|          | 0/1875 [00:02<?, ?it/s, train_loss=3.17, train_acc=0.25, avg_tr_acc=0.25, avg_tr_loss=3.17][A
Batch:   0%|          | 1/1875 [00:02<1:09:30,  2.23s/it, train_loss=3.17, train_acc=0.25, avg_tr_acc=0.25, avg_tr_loss=3.17][A
Batch:   0%|          | 1/1875 [00:03<1:09:30,  2.23s/it, train_loss=2.79, train_acc=0.0312, avg_tr_acc=0.141, avg_tr_loss=2.98][A
Batch:   0%|          | 2/1875 [00:03<58:32,  1.88s/it, train_loss=2.79, train_acc=0.0312, avg_tr_acc=0.141, avg_tr_loss=2.98]  [A
Batch:   0%|          | 2/1875 [00:05<58:32,  1.88s/it, train_loss=2.73, train_acc=0.0938, avg_tr_acc=0.125, avg_tr_loss=2.9] [A
Batch:   0%|          | 3/1875 [00:05<55:00,  1.76s/it, train_loss=2.73, train_acc=0.0938, avg_tr_acc=0.125, avg_tr_loss=2.9][A
Batch:   0%|          | 3/1875 [00:07<55:00,  1.76s/it, train_loss=2.46, train_acc=0.125, avg_tr_acc=0.125, avg_tr_loss=2.79][A
Batch:   0%|          | 4/1875 [00:07<53:23,  1.71s/it, train_loss=2.46, train_acc=0.125, avg_tr_acc=0.125, avg_tr_loss=2.79][A
Batch:   0%|          | 4/1875 [00:08<53:23,  1.71s/it, train_loss=2.47, train_acc=0.125, avg_tr_acc=0.125, avg_tr_loss=2.72][A
Batch:   0%|          | 5/1875 [00:08<52:25,  1.68s/it, train_loss=2.47, train_acc=0.125, avg_tr_acc=0.125, avg_tr_loss=2.72][A
Batch:   0%|          | 5/1875 [00:10<52:25,  1.68s/it, train_loss=2.34, train_acc=0.219, avg_tr_acc=0.141, avg_tr_loss=2.66][A
Batch:   0%|          | 6/1875 [00:10<51:51,  1.66s/it, train_loss=2.34, train_acc=0.219, avg_tr_acc=0.141, avg_tr_loss=2.66][A
Batch:   0%|          | 6/1875 [00:12<51:51,  1.66s/it, train_loss=2.37, train_acc=0.0625, avg_tr_acc=0.129, avg_tr_loss=2.62][A
Batch:   0%|          | 7/1875 [00:12<51:30,  1.65s/it, train_loss=2.37, train_acc=0.0625, avg_tr_acc=0.129, avg_tr_loss=2.62][A
Batch:   0%|          | 7/1875 [00:13<51:30,  1.65s/it, train_loss=2.38, train_acc=0, avg_tr_acc=0.113, avg_tr_loss=2.59]     [A
Batch:   0%|          | 8/1875 [00:13<51:14,  1.65s/it, train_loss=2.38, train_acc=0, avg_tr_acc=0.113, avg_tr_loss=2.59][A
Batch:   0%|          | 8/1875 [00:15<51:14,  1.65s/it, train_loss=2.32, train_acc=0.156, avg_tr_acc=0.118, avg_tr_loss=2.56][A
Batch:   0%|          | 9/1875 [00:15<51:01,  1.64s/it, train_loss=2.32, train_acc=0.156, avg_tr_acc=0.118, avg_tr_loss=2.56][A
Batch:   0%|          | 9/1875 [00:16<51:01,  1.64s/it, train_loss=2.32, train_acc=0.0312, avg_tr_acc=0.109, avg_tr_loss=2.53][A
Batch:   1%|          | 10/1875 [00:16<50:54,  1.64s/it, train_loss=2.32, train_acc=0.0312, avg_tr_acc=0.109, avg_tr_loss=2.53][A
Batch:   1%|          | 10/1875 [00:18<50:54,  1.64s/it, train_loss=2.38, train_acc=0.0312, avg_tr_acc=0.102, avg_tr_loss=2.52][A
Batch:   1%|          | 11/1875 [00:18<50:48,  1.64s/it, train_loss=2.38, train_acc=0.0312, avg_tr_acc=0.102, avg_tr_loss=2.52][A
Batch:   1%|          | 11/1875 [00:20<50:48,  1.64s/it, train_loss=2.3, train_acc=0.156, avg_tr_acc=0.107, avg_tr_loss=2.5]   [A
Batch:   1%|          | 12/1875 [00:20<50:45,  1.63s/it, train_loss=2.3, train_acc=0.156, avg_tr_acc=0.107, avg_tr_loss=2.5][A
Batch:   1%|          | 12/1875 [00:21<50:45,  1.63s/it, train_loss=2.33, train_acc=0.0625, avg_tr_acc=0.103, avg_tr_loss=2.49][A
