/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/interpolation.py:5: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  x = torch.tensor(x)
/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/interpolation.py:6: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  y = torch.tensor(y)
/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/ShiftedConv2d.py:33: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.shifts = torch.tensor(shifts)
Epoch:   0%|          | 0/40 [00:00<?, ?it/s]
Batch:   0%|          | 0/9158 [00:00<?, ?it/s][A
Batch:   0%|          | 16/9158 [00:10<1:36:37,  1.58it/s, train_loss=15.9, train_acc=0.125, avg_tr_acc=0.133, avg_tr_loss=11.3][A
Batch:   0%|          | 32/9158 [00:20<1:36:00,  1.58it/s, train_loss=9.57, train_acc=0, avg_tr_acc=0.133, avg_tr_loss=8.53]    [A
Batch:   1%|          | 49/9158 [00:30<1:34:42,  1.60it/s, train_loss=3.01, train_acc=0.125, avg_tr_acc=0.138, avg_tr_loss=7.48][A
Batch:   1%|          | 66/9158 [00:40<1:33:12,  1.63it/s, train_loss=2.75, train_acc=0.5, avg_tr_acc=0.15, avg_tr_loss=6.75]   [A
Batch:   1%|          | 83/9158 [00:51<1:32:42,  1.63it/s, train_loss=5.31, train_acc=0.125, avg_tr_acc=0.157, avg_tr_loss=6.39][A
Batch:   1%|1         | 100/9158 [01:01<1:32:27,  1.63it/s, train_loss=7.47, train_acc=0.375, avg_tr_acc=0.164, avg_tr_loss=6.35][A
Batch:   1%|1         | 117/9158 [01:11<1:31:58,  1.64it/s, train_loss=3.97, train_acc=0.125, avg_tr_acc=0.163, avg_tr_loss=6.07][A
Batch:   1%|1         | 134/9158 [01:22<1:31:26,  1.64it/s, train_loss=5.03, train_acc=0.125, avg_tr_acc=0.165, avg_tr_loss=5.91][A
Batch:   2%|1         | 152/9158 [01:32<1:30:04,  1.67it/s, train_loss=4.27, train_acc=0.125, avg_tr_acc=0.166, avg_tr_loss=5.91][A
Batch:   2%|1         | 170/9158 [01:43<1:29:06,  1.68it/s, train_loss=12.8, train_acc=0.125, avg_tr_acc=0.17, avg_tr_loss=5.77] [A
Batch:   2%|2         | 188/9158 [01:54<1:29:18,  1.67it/s, train_loss=5.43, train_acc=0.375, avg_tr_acc=0.171, avg_tr_loss=5.71][A
Batch:   2%|2         | 206/9158 [02:04<1:28:21,  1.69it/s, train_loss=2.76, train_acc=0.25, avg_tr_acc=0.171, avg_tr_loss=5.7]  [A
Batch:   2%|2         | 224/9158 [02:15<1:28:02,  1.69it/s, train_loss=6.93, train_acc=0.125, avg_tr_acc=0.167, avg_tr_loss=5.59][A
Batch:   3%|2         | 241/9158 [02:25<1:27:53,  1.69it/s, train_loss=3.43, train_acc=0.25, avg_tr_acc=0.169, avg_tr_loss=5.49] [A
Batch:   3%|2         | 259/9158 [02:35<1:27:13,  1.70it/s, train_loss=10.3, train_acc=0, avg_tr_acc=0.168, avg_tr_loss=5.43]   [A
Batch:   3%|3         | 277/9158 [02:46<1:26:56,  1.70it/s, train_loss=2.02, train_acc=0.375, avg_tr_acc=0.17, avg_tr_loss=5.31][A
Batch:   3%|3         | 295/9158 [02:56<1:26:28,  1.71it/s, train_loss=5.01, train_acc=0.375, avg_tr_acc=0.174, avg_tr_loss=5.2][A
Batch:   3%|3         | 313/9158 [03:06<1:25:33,  1.72it/s, train_loss=3.46, train_acc=0, avg_tr_acc=0.173, avg_tr_loss=5.2]    [A
Batch:   4%|3         | 331/9158 [03:17<1:25:09,  1.73it/s, train_loss=3.86, train_acc=0.125, avg_tr_acc=0.174, avg_tr_loss=5.1][A
Batch:   4%|3         | 349/9158 [03:27<1:25:01,  1.73it/s, train_loss=8, train_acc=0.125, avg_tr_acc=0.175, avg_tr_loss=5.01]  [A
Batch:   4%|4         | 367/9158 [03:38<1:25:10,  1.72it/s, train_loss=4.74, train_acc=0.125, avg_tr_acc=0.172, avg_tr_loss=4.98][A
Batch:   4%|4         | 385/9158 [03:48<1:24:46,  1.72it/s, train_loss=3.93, train_acc=0.125, avg_tr_acc=0.173, avg_tr_loss=4.93][A
Batch:   4%|4         | 403/9158 [03:58<1:24:15,  1.73it/s, train_loss=5.41, train_acc=0.25, avg_tr_acc=0.176, avg_tr_loss=4.87] [A
Batch:   5%|4         | 421/9158 [04:09<1:24:09,  1.73it/s, train_loss=4.35, train_acc=0, avg_tr_acc=0.173, avg_tr_loss=4.86]   [A
Batch:   5%|4         | 439/9158 [04:19<1:23:19,  1.74it/s, train_loss=2.26, train_acc=0.125, avg_tr_acc=0.171, avg_tr_loss=4.81][A
Batch:   5%|4         | 457/9158 [04:29<1:22:58,  1.75it/s, train_loss=1.78, train_acc=0.375, avg_tr_acc=0.172, avg_tr_loss=4.77][A
Batch:   5%|5         | 475/9158 [04:39<1:22:37,  1.75it/s, train_loss=5.36, train_acc=0, avg_tr_acc=0.173, avg_tr_loss=4.72]    [A
Batch:   5%|5         | 475/9158 [04:50<1:22:37,  1.75it/s, train_loss=9.11, train_acc=0.125, avg_tr_acc=0.172, avg_tr_loss=4.71][A
Batch:   5%|5         | 493/9158 [04:50<1:22:00,  1.76it/s, train_loss=5.07, train_acc=0.125, avg_tr_acc=0.172, avg_tr_loss=4.71][A
Batch:   6%|5         | 511/9158 [05:00<1:21:43,  1.76it/s, train_loss=4.52, train_acc=0.125, avg_tr_acc=0.174, avg_tr_loss=4.69][A
Batch:   6%|5         | 530/9158 [05:10<1:20:55,  1.78it/s, train_loss=2, train_acc=0.25, avg_tr_acc=0.174, avg_tr_loss=4.65]    [A
Batch:   6%|5         | 549/9158 [05:21<1:20:48,  1.78it/s, train_loss=3.69, train_acc=0.125, avg_tr_acc=0.173, avg_tr_loss=4.6][A
Batch:   6%|6         | 567/9158 [05:31<1:20:53,  1.77it/s, train_loss=4.21, train_acc=0.25, avg_tr_acc=0.174, avg_tr_loss=4.57][A
