/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/interpolation.py:5: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  x = torch.tensor(x)
/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/interpolation.py:6: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  y = torch.tensor(y)
/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/ShiftedConv2d.py:33: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.shifts = torch.tensor(shifts)
Epoch:   0%|          | 0/40 [00:00<?, ?it/s]
Batch:   0%|          | 0/7859 [00:00<?, ?it/s][A
Batch:   0%|          | 29/7859 [00:10<45:51,  2.85it/s, train_loss=3.66, train_acc=0.25, avg_tr_acc=0.142, avg_tr_loss=6.52][A
Batch:   1%|          | 58/7859 [00:20<45:30,  2.86it/s, train_loss=4.66, train_acc=0.25, avg_tr_acc=0.149, avg_tr_loss=4.9] [A
Batch:   1%|1         | 87/7859 [00:30<45:15,  2.86it/s, train_loss=2.53, train_acc=0, avg_tr_acc=0.165, avg_tr_loss=4.33]  [A
Batch:   1%|1         | 116/7859 [00:40<45:03,  2.86it/s, train_loss=2.88, train_acc=0.25, avg_tr_acc=0.156, avg_tr_loss=3.92][A
Batch:   2%|1         | 145/7859 [00:50<44:52,  2.86it/s, train_loss=2.52, train_acc=0.125, avg_tr_acc=0.153, avg_tr_loss=3.67][A
Batch:   2%|2         | 174/7859 [01:00<44:42,  2.87it/s, train_loss=3.02, train_acc=0.125, avg_tr_acc=0.147, avg_tr_loss=3.48][A
Batch:   3%|2         | 203/7859 [01:10<44:32,  2.87it/s, train_loss=2.24, train_acc=0, avg_tr_acc=0.148, avg_tr_loss=3.36]    [A
Batch:   3%|2         | 232/7859 [01:21<44:21,  2.87it/s, train_loss=1.95, train_acc=0.125, avg_tr_acc=0.144, avg_tr_loss=3.26][A
Batch:   3%|3         | 261/7859 [01:31<44:15,  2.86it/s, train_loss=2.13, train_acc=0.125, avg_tr_acc=0.144, avg_tr_loss=3.17][A
Batch:   4%|3         | 290/7859 [01:41<44:03,  2.86it/s, train_loss=2.52, train_acc=0.125, avg_tr_acc=0.144, avg_tr_loss=3.11][A
Batch:   4%|4         | 319/7859 [01:51<43:53,  2.86it/s, train_loss=1.97, train_acc=0.25, avg_tr_acc=0.152, avg_tr_loss=3.03] [A
Batch:   4%|4         | 348/7859 [02:01<43:42,  2.86it/s, train_loss=1.96, train_acc=0.125, avg_tr_acc=0.155, avg_tr_loss=2.97][A
Batch:   5%|4         | 377/7859 [02:11<43:32,  2.86it/s, train_loss=2.19, train_acc=0.125, avg_tr_acc=0.157, avg_tr_loss=2.93][A
Batch:   5%|5         | 406/7859 [02:21<43:22,  2.86it/s, train_loss=2.5, train_acc=0.125, avg_tr_acc=0.157, avg_tr_loss=2.89] [A
Batch:   6%|5         | 435/7859 [02:31<43:11,  2.86it/s, train_loss=2.13, train_acc=0.25, avg_tr_acc=0.157, avg_tr_loss=2.86][A
