/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/interpolation.py:5: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  x = torch.tensor(x)
/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/interpolation.py:6: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  y = torch.tensor(y)
/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/ShiftedConv2d.py:33: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.shifts = torch.tensor(shifts)
Epoch:   0%|          | 0/40 [00:00<?, ?it/s]
Batch:   0%|          | 0/9158 [00:00<?, ?it/s][A
Batch:   0%|          | 16/9158 [00:10<1:38:48,  1.54it/s, train_loss=13.2, train_acc=0.125, avg_tr_acc=0.141, avg_tr_loss=16.2][A
Batch:   0%|          | 32/9158 [00:20<1:36:48,  1.57it/s, train_loss=3.27, train_acc=0.125, avg_tr_acc=0.16, avg_tr_loss=11]   [A
Batch:   1%|          | 48/9158 [00:30<1:36:03,  1.58it/s, train_loss=3.79, train_acc=0.5, avg_tr_acc=0.167, avg_tr_loss=9.45][A
Batch:   1%|          | 64/9158 [00:40<1:35:37,  1.58it/s, train_loss=3.26, train_acc=0.375, avg_tr_acc=0.174, avg_tr_loss=8.09][A
Batch:   1%|          | 80/9158 [00:50<1:35:19,  1.59it/s, train_loss=2.71, train_acc=0.25, avg_tr_acc=0.17, avg_tr_loss=7.19]  [A
Batch:   1%|1         | 96/9158 [01:00<1:35:05,  1.59it/s, train_loss=4.16, train_acc=0.25, avg_tr_acc=0.156, avg_tr_loss=6.53][A
Batch:   1%|1         | 112/9158 [01:10<1:34:51,  1.59it/s, train_loss=2.84, train_acc=0.375, avg_tr_acc=0.165, avg_tr_loss=6.06][A
Batch:   1%|1         | 128/9158 [01:20<1:34:40,  1.59it/s, train_loss=3.34, train_acc=0.25, avg_tr_acc=0.163, avg_tr_loss=5.73] [A
Batch:   2%|1         | 144/9158 [01:30<1:34:29,  1.59it/s, train_loss=2.12, train_acc=0.125, avg_tr_acc=0.166, avg_tr_loss=5.42][A
Batch:   2%|1         | 160/9158 [01:40<1:34:17,  1.59it/s, train_loss=3.39, train_acc=0.25, avg_tr_acc=0.166, avg_tr_loss=5.19] [A
Batch:   2%|1         | 176/9158 [01:50<1:34:07,  1.59it/s, train_loss=2.25, train_acc=0.125, avg_tr_acc=0.17, avg_tr_loss=5]   [A
Batch:   2%|2         | 192/9158 [02:00<1:33:56,  1.59it/s, train_loss=2.68, train_acc=0.125, avg_tr_acc=0.176, avg_tr_loss=4.82][A
Batch:   2%|2         | 208/9158 [02:11<1:33:47,  1.59it/s, train_loss=2.19, train_acc=0.25, avg_tr_acc=0.172, avg_tr_loss=4.67] [A
Batch:   2%|2         | 224/9158 [02:21<1:33:37,  1.59it/s, train_loss=3.41, train_acc=0.125, avg_tr_acc=0.169, avg_tr_loss=4.55][A
Batch:   3%|2         | 240/9158 [02:31<1:33:29,  1.59it/s, train_loss=2.33, train_acc=0.25, avg_tr_acc=0.167, avg_tr_loss=4.45] [A
Batch:   3%|2         | 256/9158 [02:41<1:33:19,  1.59it/s, train_loss=2.5, train_acc=0.25, avg_tr_acc=0.166, avg_tr_loss=4.38] [A
Batch:   3%|2         | 272/9158 [02:51<1:33:10,  1.59it/s, train_loss=2.83, train_acc=0.25, avg_tr_acc=0.166, avg_tr_loss=4.3][A
Batch:   3%|3         | 288/9158 [03:01<1:33:01,  1.59it/s, train_loss=2.33, train_acc=0.125, avg_tr_acc=0.164, avg_tr_loss=4.21][A
Batch:   3%|3         | 304/9158 [03:11<1:32:50,  1.59it/s, train_loss=3.24, train_acc=0.125, avg_tr_acc=0.166, avg_tr_loss=4.15][A
Batch:   3%|3         | 320/9158 [03:21<1:32:40,  1.59it/s, train_loss=2.07, train_acc=0.25, avg_tr_acc=0.166, avg_tr_loss=4.1]  [A
Batch:   4%|3         | 336/9158 [03:31<1:32:29,  1.59it/s, train_loss=2.45, train_acc=0.25, avg_tr_acc=0.17, avg_tr_loss=4.04][A
Batch:   4%|3         | 352/9158 [03:41<1:32:19,  1.59it/s, train_loss=2.2, train_acc=0.125, avg_tr_acc=0.171, avg_tr_loss=4]  [A
Batch:   4%|4         | 368/9158 [03:51<1:32:10,  1.59it/s, train_loss=1.8, train_acc=0.375, avg_tr_acc=0.174, avg_tr_loss=3.95][A
Batch:   4%|4         | 384/9158 [04:01<1:31:59,  1.59it/s, train_loss=2.06, train_acc=0.375, avg_tr_acc=0.175, avg_tr_loss=3.92][A
Batch:   4%|4         | 400/9158 [04:11<1:31:50,  1.59it/s, train_loss=2.52, train_acc=0.125, avg_tr_acc=0.175, avg_tr_loss=3.87][A
Batch:   5%|4         | 416/9158 [04:21<1:31:40,  1.59it/s, train_loss=2.33, train_acc=0.375, avg_tr_acc=0.174, avg_tr_loss=3.83][A
Batch:   5%|4         | 432/9158 [04:31<1:31:30,  1.59it/s, train_loss=3.13, train_acc=0.125, avg_tr_acc=0.173, avg_tr_loss=3.78][A
Batch:   5%|4         | 448/9158 [04:42<1:31:20,  1.59it/s, train_loss=4.31, train_acc=0, avg_tr_acc=0.173, avg_tr_loss=3.74]    [A
Batch:   5%|5         | 464/9158 [04:52<1:31:10,  1.59it/s, train_loss=3.35, train_acc=0, avg_tr_acc=0.173, avg_tr_loss=3.71][A
Batch:   5%|5         | 480/9158 [05:02<1:31:02,  1.59it/s, train_loss=2.71, train_acc=0, avg_tr_acc=0.174, avg_tr_loss=3.67][A
Batch:   5%|5         | 496/9158 [05:12<1:30:51,  1.59it/s, train_loss=2.48, train_acc=0.125, avg_tr_acc=0.176, avg_tr_loss=3.64][A
Batch:   6%|5         | 512/9158 [05:22<1:30:43,  1.59it/s, train_loss=2.15, train_acc=0, avg_tr_acc=0.176, avg_tr_loss=3.62]    [A
Batch:   6%|5         | 528/9158 [05:32<1:30:33,  1.59it/s, train_loss=3.65, train_acc=0.25, avg_tr_acc=0.176, avg_tr_loss=3.59][A
Batch:   6%|5         | 544/9158 [05:42<1:30:22,  1.59it/s, train_loss=2.44, train_acc=0.25, avg_tr_acc=0.176, avg_tr_loss=3.57][A
Batch:   6%|6         | 560/9158 [05:52<1:30:11,  1.59it/s, train_loss=2.44, train_acc=0, avg_tr_acc=0.175, avg_tr_loss=3.55]   [A
Batch:   6%|6         | 576/9158 [06:02<1:30:01,  1.59it/s, train_loss=2.42, train_acc=0.25, avg_tr_acc=0.174, avg_tr_loss=3.53][A
Batch:   6%|6         | 592/9158 [06:12<1:29:51,  1.59it/s, train_loss=3.59, train_acc=0, avg_tr_acc=0.174, avg_tr_loss=3.52]   [A
Batch:   7%|6         | 608/9158 [06:22<1:29:40,  1.59it/s, train_loss=2.81, train_acc=0.375, avg_tr_acc=0.172, avg_tr_loss=3.5][A
Batch:   7%|6         | 624/9158 [06:32<1:29:29,  1.59it/s, train_loss=2.31, train_acc=0.375, avg_tr_acc=0.173, avg_tr_loss=3.48][A
Batch:   7%|6         | 640/9158 [06:42<1:29:19,  1.59it/s, train_loss=2.73, train_acc=0.125, avg_tr_acc=0.172, avg_tr_loss=3.46][A
Batch:   7%|7         | 656/9158 [06:52<1:29:09,  1.59it/s, train_loss=3.09, train_acc=0.375, avg_tr_acc=0.172, avg_tr_loss=3.43][A
Batch:   7%|7         | 672/9158 [07:03<1:29:00,  1.59it/s, train_loss=2.98, train_acc=0.25, avg_tr_acc=0.172, avg_tr_loss=3.42] [A
Batch:   8%|7         | 688/9158 [07:13<1:28:49,  1.59it/s, train_loss=2.39, train_acc=0.25, avg_tr_acc=0.173, avg_tr_loss=3.4] [A
Batch:   8%|7         | 704/9158 [07:23<1:28:39,  1.59it/s, train_loss=2.88, train_acc=0.25, avg_tr_acc=0.173, avg_tr_loss=3.38][A
Batch:   8%|7         | 720/9158 [07:33<1:28:29,  1.59it/s, train_loss=2.23, train_acc=0.375, avg_tr_acc=0.173, avg_tr_loss=3.36][A
Batch:   8%|8         | 736/9158 [07:43<1:28:19,  1.59it/s, train_loss=2.21, train_acc=0.125, avg_tr_acc=0.174, avg_tr_loss=3.34][A
Batch:   8%|8         | 752/9158 [07:53<1:28:08,  1.59it/s, train_loss=2.39, train_acc=0.125, avg_tr_acc=0.174, avg_tr_loss=3.33][A
Batch:   8%|8         | 768/9158 [08:03<1:27:59,  1.59it/s, train_loss=2.88, train_acc=0.125, avg_tr_acc=0.174, avg_tr_loss=3.32][A
Batch:   9%|8         | 784/9158 [08:13<1:27:49,  1.59it/s, train_loss=3.73, train_acc=0.25, avg_tr_acc=0.174, avg_tr_loss=3.3]  [A
Batch:   9%|8         | 800/9158 [08:23<1:27:39,  1.59it/s, train_loss=2.4, train_acc=0.25, avg_tr_acc=0.173, avg_tr_loss=3.29][A
Batch:   9%|8         | 816/9158 [08:33<1:27:29,  1.59it/s, train_loss=2.96, train_acc=0, avg_tr_acc=0.173, avg_tr_loss=3.28]  [A
Batch:   9%|9         | 832/9158 [08:43<1:27:18,  1.59it/s, train_loss=2.24, train_acc=0.25, avg_tr_acc=0.173, avg_tr_loss=3.27][A
Batch:   9%|9         | 848/9158 [08:53<1:27:07,  1.59it/s, train_loss=3.22, train_acc=0.125, avg_tr_acc=0.173, avg_tr_loss=3.26][A
Batch:   9%|9         | 864/9158 [09:03<1:26:57,  1.59it/s, train_loss=3.51, train_acc=0, avg_tr_acc=0.173, avg_tr_loss=3.25]    [A
