/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/interpolation.py:5: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  x = torch.tensor(x)
/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/interpolation.py:6: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  y = torch.tensor(y)
/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/ShiftedConv2d.py:33: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.shifts = torch.tensor(shifts)
Epoch:   0%|          | 0/40 [00:00<?, ?it/s]
Batch:   0%|          | 0/9158 [00:00<?, ?it/s][A
Batch:   0%|          | 28/9158 [00:10<56:17,  2.70it/s, train_loss=2.3, train_acc=0.125, avg_tr_acc=0.147, avg_tr_loss=8.4][A
Batch:   1%|          | 56/9158 [00:20<55:12,  2.75it/s, train_loss=2.78, train_acc=0.375, avg_tr_acc=0.156, avg_tr_loss=6.34][A
Batch:   1%|          | 84/9158 [00:30<54:48,  2.76it/s, train_loss=2.41, train_acc=0, avg_tr_acc=0.153, avg_tr_loss=5.23]    [A
Batch:   1%|1         | 112/9158 [00:40<54:32,  2.76it/s, train_loss=3.47, train_acc=0, avg_tr_acc=0.156, avg_tr_loss=4.74][A
Batch:   2%|1         | 140/9158 [00:50<54:20,  2.77it/s, train_loss=3.12, train_acc=0, avg_tr_acc=0.155, avg_tr_loss=4.44][A
Batch:   2%|1         | 168/9158 [01:00<54:07,  2.77it/s, train_loss=2.41, train_acc=0.125, avg_tr_acc=0.159, avg_tr_loss=4.17][A
Batch:   2%|2         | 196/9158 [01:10<53:56,  2.77it/s, train_loss=2.74, train_acc=0.125, avg_tr_acc=0.163, avg_tr_loss=3.97][A
Batch:   2%|2         | 224/9158 [01:21<53:44,  2.77it/s, train_loss=2.12, train_acc=0.25, avg_tr_acc=0.16, avg_tr_loss=3.8]   [A
Batch:   3%|2         | 252/9158 [01:31<53:40,  2.77it/s, train_loss=1.92, train_acc=0.375, avg_tr_acc=0.162, avg_tr_loss=3.68][A
Batch:   3%|3         | 280/9158 [01:41<53:35,  2.76it/s, train_loss=2.37, train_acc=0.375, avg_tr_acc=0.166, avg_tr_loss=3.58][A
Batch:   3%|3         | 308/9158 [01:51<53:21,  2.76it/s, train_loss=2.09, train_acc=0.25, avg_tr_acc=0.164, avg_tr_loss=3.5]  [A
Batch:   4%|3         | 336/9158 [02:01<53:09,  2.77it/s, train_loss=2.9, train_acc=0, avg_tr_acc=0.163, avg_tr_loss=3.43]   [A
Batch:   4%|3         | 364/9158 [02:11<52:56,  2.77it/s, train_loss=2.09, train_acc=0.375, avg_tr_acc=0.166, avg_tr_loss=3.37][A
Batch:   4%|4         | 392/9158 [02:21<52:44,  2.77it/s, train_loss=2.26, train_acc=0.25, avg_tr_acc=0.168, avg_tr_loss=3.31] [A
Batch:   5%|4         | 420/9158 [02:31<52:33,  2.77it/s, train_loss=2.14, train_acc=0.25, avg_tr_acc=0.168, avg_tr_loss=3.26][A
Batch:   5%|4         | 448/9158 [02:41<52:22,  2.77it/s, train_loss=2.22, train_acc=0.25, avg_tr_acc=0.17, avg_tr_loss=3.23] [A
Batch:   5%|5         | 476/9158 [02:52<52:10,  2.77it/s, train_loss=3.04, train_acc=0.125, avg_tr_acc=0.169, avg_tr_loss=3.2][A
Batch:   6%|5         | 504/9158 [03:02<52:00,  2.77it/s, train_loss=3.29, train_acc=0.125, avg_tr_acc=0.169, avg_tr_loss=3.17][A
Batch:   6%|5         | 532/9158 [03:12<51:50,  2.77it/s, train_loss=1.97, train_acc=0.25, avg_tr_acc=0.171, avg_tr_loss=3.13] [A
Batch:   6%|6         | 560/9158 [03:22<51:39,  2.77it/s, train_loss=1.89, train_acc=0.5, avg_tr_acc=0.172, avg_tr_loss=3.11] [A
