/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/interpolation.py:5: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  x = torch.tensor(x)
/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/interpolation.py:6: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  y = torch.tensor(y)
/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/ShiftedConv2d.py:33: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.shifts = torch.tensor(shifts)
Epoch:   0%|          | 0/40 [00:00<?, ?it/s]
Batch:   0%|          | 0/9158 [00:00<?, ?it/s][A
Batch:   0%|          | 14/9158 [00:10<1:52:37,  1.35it/s, train_loss=16.1, train_acc=0.125, avg_tr_acc=0.0982, avg_tr_loss=9.86][A
Batch:   0%|          | 28/9158 [00:20<1:51:13,  1.37it/s, train_loss=2.27, train_acc=0.125, avg_tr_acc=0.116, avg_tr_loss=7.07] [A
Batch:   0%|          | 42/9158 [00:30<1:50:13,  1.38it/s, train_loss=10.3, train_acc=0, avg_tr_acc=0.122, avg_tr_loss=6.32]    [A
Batch:   1%|          | 56/9158 [00:40<1:49:50,  1.38it/s, train_loss=2.96, train_acc=0.25, avg_tr_acc=0.127, avg_tr_loss=6.13][A
Batch:   1%|          | 70/9158 [00:50<1:49:50,  1.38it/s, train_loss=3.49, train_acc=0, avg_tr_acc=0.125, avg_tr_loss=5.72]   [A
Batch:   1%|          | 84/9158 [01:00<1:49:21,  1.38it/s, train_loss=2.68, train_acc=0.125, avg_tr_acc=0.131, avg_tr_loss=5.37][A
Batch:   1%|1         | 99/9158 [01:11<1:48:22,  1.39it/s, train_loss=2.13, train_acc=0.25, avg_tr_acc=0.125, avg_tr_loss=5.02] [A
Batch:   1%|1         | 114/9158 [01:22<1:48:29,  1.39it/s, train_loss=2.99, train_acc=0, avg_tr_acc=0.128, avg_tr_loss=4.79]  [A
Batch:   1%|1         | 129/9158 [01:33<1:47:55,  1.39it/s, train_loss=2.63, train_acc=0, avg_tr_acc=0.135, avg_tr_loss=4.6] [A
Batch:   2%|1         | 144/9158 [01:43<1:47:22,  1.40it/s, train_loss=3.58, train_acc=0, avg_tr_acc=0.136, avg_tr_loss=4.47][A
Batch:   2%|1         | 159/9158 [01:54<1:47:24,  1.40it/s, train_loss=3.49, train_acc=0.25, avg_tr_acc=0.139, avg_tr_loss=4.38][A
Batch:   2%|1         | 173/9158 [02:04<1:47:20,  1.40it/s, train_loss=3.49, train_acc=0, avg_tr_acc=0.137, avg_tr_loss=4.27]   [A
Batch:   2%|2         | 187/9158 [02:14<1:47:03,  1.40it/s, train_loss=2.09, train_acc=0.125, avg_tr_acc=0.135, avg_tr_loss=4.2][A
Batch:   2%|2         | 202/9158 [02:25<1:46:36,  1.40it/s, train_loss=2.7, train_acc=0.125, avg_tr_acc=0.132, avg_tr_loss=4.12][A
Batch:   2%|2         | 217/9158 [02:35<1:45:57,  1.41it/s, train_loss=3.08, train_acc=0.25, avg_tr_acc=0.133, avg_tr_loss=4.04][A
Batch:   3%|2         | 232/9158 [02:46<1:45:11,  1.41it/s, train_loss=3.08, train_acc=0.125, avg_tr_acc=0.134, avg_tr_loss=4]  [A
Batch:   3%|2         | 247/9158 [02:56<1:44:48,  1.42it/s, train_loss=2.36, train_acc=0.125, avg_tr_acc=0.135, avg_tr_loss=3.94][A
Batch:   3%|2         | 262/9158 [03:07<1:44:19,  1.42it/s, train_loss=3.06, train_acc=0.125, avg_tr_acc=0.133, avg_tr_loss=3.88][A
Batch:   3%|3         | 277/9158 [03:17<1:43:53,  1.42it/s, train_loss=2.16, train_acc=0.25, avg_tr_acc=0.133, avg_tr_loss=3.85] [A
Batch:   3%|3         | 292/9158 [03:28<1:43:47,  1.42it/s, train_loss=3.47, train_acc=0.125, avg_tr_acc=0.134, avg_tr_loss=3.81][A
Batch:   3%|3         | 307/9158 [03:38<1:43:21,  1.43it/s, train_loss=2.33, train_acc=0.125, avg_tr_acc=0.132, avg_tr_loss=3.76][A
Batch:   4%|3         | 322/9158 [03:49<1:43:19,  1.43it/s, train_loss=2.73, train_acc=0.125, avg_tr_acc=0.128, avg_tr_loss=3.74][A
Batch:   4%|3         | 337/9158 [03:59<1:43:01,  1.43it/s, train_loss=3.67, train_acc=0.125, avg_tr_acc=0.128, avg_tr_loss=3.72][A
Batch:   4%|3         | 337/9158 [04:09<1:43:01,  1.43it/s, train_loss=2.34, train_acc=0.375, avg_tr_acc=0.128, avg_tr_loss=3.69][A
Batch:   4%|3         | 352/9158 [04:10<1:43:08,  1.42it/s, train_loss=2.01, train_acc=0.125, avg_tr_acc=0.128, avg_tr_loss=3.68][A
Batch:   4%|4         | 367/9158 [04:20<1:42:56,  1.42it/s, train_loss=3.45, train_acc=0, avg_tr_acc=0.128, avg_tr_loss=3.66]    [A
Batch:   4%|4         | 382/9158 [04:31<1:42:33,  1.43it/s, train_loss=4.14, train_acc=0.25, avg_tr_acc=0.128, avg_tr_loss=3.63][A
Batch:   4%|4         | 397/9158 [04:41<1:41:54,  1.43it/s, train_loss=2.93, train_acc=0, avg_tr_acc=0.129, avg_tr_loss=3.6]    [A
Batch:   4%|4         | 412/9158 [04:52<1:41:49,  1.43it/s, train_loss=3.9, train_acc=0.125, avg_tr_acc=0.128, avg_tr_loss=3.58][A
Batch:   5%|4         | 427/9158 [05:02<1:41:19,  1.44it/s, train_loss=2.48, train_acc=0.25, avg_tr_acc=0.128, avg_tr_loss=3.56][A
Batch:   5%|4         | 442/9158 [05:13<1:41:07,  1.44it/s, train_loss=2.25, train_acc=0.125, avg_tr_acc=0.129, avg_tr_loss=3.54][A
Batch:   5%|4         | 457/9158 [05:23<1:40:54,  1.44it/s, train_loss=4.2, train_acc=0.25, avg_tr_acc=0.129, avg_tr_loss=3.52]  [A
Batch:   5%|5         | 472/9158 [05:33<1:40:22,  1.44it/s, train_loss=2.42, train_acc=0, avg_tr_acc=0.129, avg_tr_loss=3.5]   [A
Batch:   5%|5         | 487/9158 [05:44<1:40:13,  1.44it/s, train_loss=2.12, train_acc=0.125, avg_tr_acc=0.129, avg_tr_loss=3.47][A
Batch:   5%|5         | 502/9158 [05:54<1:39:55,  1.44it/s, train_loss=2.65, train_acc=0, avg_tr_acc=0.13, avg_tr_loss=3.45]     [A
Batch:   6%|5         | 517/9158 [06:04<1:39:29,  1.45it/s, train_loss=2.74, train_acc=0, avg_tr_acc=0.131, avg_tr_loss=3.43][A
Batch:   6%|5         | 532/9158 [06:15<1:39:12,  1.45it/s, train_loss=2.24, train_acc=0.125, avg_tr_acc=0.131, avg_tr_loss=3.41][A
Batch:   6%|5         | 547/9158 [06:25<1:38:43,  1.45it/s, train_loss=3.3, train_acc=0, avg_tr_acc=0.13, avg_tr_loss=3.4]       [A
Batch:   6%|6         | 562/9158 [06:35<1:38:24,  1.46it/s, train_loss=2.96, train_acc=0.125, avg_tr_acc=0.132, avg_tr_loss=3.38][A
Batch:   6%|6         | 577/9158 [06:45<1:38:07,  1.46it/s, train_loss=2.41, train_acc=0.125, avg_tr_acc=0.132, avg_tr_loss=3.37][A
Batch:   6%|6         | 592/9158 [06:56<1:37:40,  1.46it/s, train_loss=3.28, train_acc=0.125, avg_tr_acc=0.132, avg_tr_loss=3.36][A
Batch:   7%|6         | 607/9158 [07:06<1:37:25,  1.46it/s, train_loss=2.52, train_acc=0.125, avg_tr_acc=0.133, avg_tr_loss=3.34][A
Batch:   7%|6         | 622/9158 [07:16<1:37:23,  1.46it/s, train_loss=3.03, train_acc=0.25, avg_tr_acc=0.134, avg_tr_loss=3.33] [A
Batch:   7%|6         | 637/9158 [07:26<1:36:54,  1.47it/s, train_loss=2.3, train_acc=0, avg_tr_acc=0.134, avg_tr_loss=3.33]    [A
Batch:   7%|7         | 652/9158 [07:37<1:36:48,  1.46it/s, train_loss=3.38, train_acc=0, avg_tr_acc=0.135, avg_tr_loss=3.32][A
Batch:   7%|7         | 667/9158 [07:47<1:36:32,  1.47it/s, train_loss=2.88, train_acc=0, avg_tr_acc=0.136, avg_tr_loss=3.31][A
Batch:   7%|7         | 682/9158 [07:57<1:36:10,  1.47it/s, train_loss=3.34, train_acc=0.125, avg_tr_acc=0.136, avg_tr_loss=3.3][A
Batch:   8%|7         | 697/9158 [08:07<1:36:03,  1.47it/s, train_loss=2.26, train_acc=0.125, avg_tr_acc=0.137, avg_tr_loss=3.29][A
Batch:   8%|7         | 712/9158 [08:17<1:35:51,  1.47it/s, train_loss=3.87, train_acc=0, avg_tr_acc=0.137, avg_tr_loss=3.29]    [A
Batch:   8%|7         | 727/9158 [08:28<1:35:58,  1.46it/s, train_loss=3.63, train_acc=0.125, avg_tr_acc=0.138, avg_tr_loss=3.29][A
Batch:   8%|8         | 742/9158 [08:38<1:35:19,  1.47it/s, train_loss=2.82, train_acc=0.125, avg_tr_acc=0.139, avg_tr_loss=3.28][A
Batch:   8%|8         | 757/9158 [08:48<1:35:02,  1.47it/s, train_loss=3.27, train_acc=0, avg_tr_acc=0.14, avg_tr_loss=3.27]     [A
Batch:   8%|8         | 772/9158 [08:58<1:34:37,  1.48it/s, train_loss=2.26, train_acc=0.125, avg_tr_acc=0.14, avg_tr_loss=3.27][A
Batch:   9%|8         | 787/9158 [09:08<1:34:26,  1.48it/s, train_loss=3.33, train_acc=0, avg_tr_acc=0.14, avg_tr_loss=3.26]    [A
Batch:   9%|8         | 802/9158 [09:18<1:34:11,  1.48it/s, train_loss=2.12, train_acc=0.125, avg_tr_acc=0.141, avg_tr_loss=3.25][A
Batch:   9%|8         | 817/9158 [09:28<1:33:42,  1.48it/s, train_loss=3.1, train_acc=0.125, avg_tr_acc=0.14, avg_tr_loss=3.24]  [A
Batch:   9%|9         | 832/9158 [09:38<1:33:34,  1.48it/s, train_loss=2.01, train_acc=0.375, avg_tr_acc=0.141, avg_tr_loss=3.23][A
Batch:   9%|9         | 847/9158 [09:49<1:33:29,  1.48it/s, train_loss=2.15, train_acc=0.125, avg_tr_acc=0.142, avg_tr_loss=3.22][A
Batch:   9%|9         | 862/9158 [09:59<1:33:13,  1.48it/s, train_loss=2.09, train_acc=0.375, avg_tr_acc=0.143, avg_tr_loss=3.21][A
Batch:  10%|9         | 877/9158 [10:09<1:33:07,  1.48it/s, train_loss=2.82, train_acc=0.125, avg_tr_acc=0.144, avg_tr_loss=3.2] [A
Batch:  10%|9         | 892/9158 [10:19<1:33:06,  1.48it/s, train_loss=1.95, train_acc=0.5, avg_tr_acc=0.145, avg_tr_loss=3.19] [A
Batch:  10%|9         | 907/9158 [10:29<1:32:48,  1.48it/s, train_loss=2.8, train_acc=0.125, avg_tr_acc=0.146, avg_tr_loss=3.18][A
Batch:  10%|#         | 922/9158 [10:39<1:32:20,  1.49it/s, train_loss=2.47, train_acc=0, avg_tr_acc=0.147, avg_tr_loss=3.17]   [A
Batch:  10%|#         | 937/9158 [10:49<1:32:14,  1.49it/s, train_loss=2.16, train_acc=0.125, avg_tr_acc=0.147, avg_tr_loss=3.17][A
Batch:  10%|#         | 952/9158 [10:59<1:32:07,  1.48it/s, train_loss=2.45, train_acc=0.25, avg_tr_acc=0.147, avg_tr_loss=3.16] [A
Batch:  10%|#         | 952/9158 [11:10<1:32:07,  1.48it/s, train_loss=2.07, train_acc=0.125, avg_tr_acc=0.148, avg_tr_loss=3.16][A
Batch:  11%|#         | 968/9158 [11:10<1:31:37,  1.49it/s, train_loss=3.03, train_acc=0.125, avg_tr_acc=0.148, avg_tr_loss=3.16][A
Batch:  11%|#         | 984/9158 [11:21<1:31:27,  1.49it/s, train_loss=2.23, train_acc=0.25, avg_tr_acc=0.149, avg_tr_loss=3.15] [A
Batch:  11%|#         | 999/9158 [11:31<1:31:09,  1.49it/s, train_loss=2.48, train_acc=0.25, avg_tr_acc=0.15, avg_tr_loss=3.14] [A
Batch:  11%|#1        | 1015/9158 [11:41<1:30:40,  1.50it/s, train_loss=2.66, train_acc=0.25, avg_tr_acc=0.15, avg_tr_loss=3.13][A
Batch:  11%|#1        | 1031/9158 [11:52<1:30:37,  1.49it/s, train_loss=2.45, train_acc=0.25, avg_tr_acc=0.15, avg_tr_loss=3.12][A
Batch:  11%|#1        | 1047/9158 [12:03<1:30:18,  1.50it/s, train_loss=3.36, train_acc=0.25, avg_tr_acc=0.151, avg_tr_loss=3.12][A
