/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/interpolation.py:5: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  x = torch.tensor(x)
/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/interpolation.py:6: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  y = torch.tensor(y)
/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/ShiftedConv2d.py:33: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.shifts = torch.tensor(shifts)
Epoch:   0%|          | 0/40 [00:00<?, ?it/s]
Batch:   0%|          | 0/9158 [00:00<?, ?it/s][A
Batch:   0%|          | 16/9158 [00:10<1:35:22,  1.60it/s, train_loss=6.67, train_acc=0, avg_tr_acc=0.141, avg_tr_loss=8.97][A
Batch:   0%|          | 33/9158 [00:20<1:33:42,  1.62it/s, train_loss=2.71, train_acc=0.125, avg_tr_acc=0.114, avg_tr_loss=6.41][A
Batch:   1%|          | 50/9158 [00:30<1:33:08,  1.63it/s, train_loss=3.38, train_acc=0.25, avg_tr_acc=0.135, avg_tr_loss=5.3]  [A
Batch:   1%|          | 67/9158 [00:41<1:32:45,  1.63it/s, train_loss=3.3, train_acc=0, avg_tr_acc=0.131, avg_tr_loss=4.76]   [A
Batch:   1%|          | 84/9158 [00:51<1:32:27,  1.64it/s, train_loss=2.36, train_acc=0.125, avg_tr_acc=0.131, avg_tr_loss=4.37][A
Batch:   1%|1         | 101/9158 [01:01<1:32:12,  1.64it/s, train_loss=1.94, train_acc=0.375, avg_tr_acc=0.134, avg_tr_loss=4.06][A
Batch:   1%|1         | 118/9158 [01:12<1:32:00,  1.64it/s, train_loss=2.65, train_acc=0, avg_tr_acc=0.132, avg_tr_loss=3.83]    [A
Batch:   1%|1         | 135/9158 [01:22<1:31:48,  1.64it/s, train_loss=2.55, train_acc=0, avg_tr_acc=0.128, avg_tr_loss=3.67][A
Batch:   2%|1         | 152/9158 [01:32<1:31:37,  1.64it/s, train_loss=2.54, train_acc=0.25, avg_tr_acc=0.142, avg_tr_loss=3.52][A
Batch:   2%|1         | 169/9158 [01:43<1:31:25,  1.64it/s, train_loss=2.06, train_acc=0.375, avg_tr_acc=0.148, avg_tr_loss=3.41][A
Batch:   2%|2         | 186/9158 [01:53<1:31:15,  1.64it/s, train_loss=2.29, train_acc=0.125, avg_tr_acc=0.152, avg_tr_loss=3.32][A
Batch:   2%|2         | 203/9158 [02:04<1:31:04,  1.64it/s, train_loss=2.42, train_acc=0, avg_tr_acc=0.153, avg_tr_loss=3.25]    [A
Batch:   2%|2         | 220/9158 [02:14<1:30:54,  1.64it/s, train_loss=2.73, train_acc=0.125, avg_tr_acc=0.153, avg_tr_loss=3.18][A
Batch:   3%|2         | 237/9158 [02:24<1:30:43,  1.64it/s, train_loss=2.57, train_acc=0.125, avg_tr_acc=0.151, avg_tr_loss=3.12][A
Batch:   3%|2         | 254/9158 [02:35<1:30:34,  1.64it/s, train_loss=2.14, train_acc=0.25, avg_tr_acc=0.15, avg_tr_loss=3.06]  [A
Batch:   3%|2         | 271/9158 [02:45<1:30:24,  1.64it/s, train_loss=2.45, train_acc=0.125, avg_tr_acc=0.152, avg_tr_loss=3.03][A
Batch:   3%|3         | 288/9158 [02:55<1:30:15,  1.64it/s, train_loss=2.29, train_acc=0.375, avg_tr_acc=0.156, avg_tr_loss=2.99][A
Batch:   3%|3         | 305/9158 [03:06<1:30:04,  1.64it/s, train_loss=2.46, train_acc=0.125, avg_tr_acc=0.155, avg_tr_loss=2.95][A
Batch:   4%|3         | 322/9158 [03:16<1:29:53,  1.64it/s, train_loss=2.44, train_acc=0.25, avg_tr_acc=0.155, avg_tr_loss=2.92] [A
Batch:   4%|3         | 339/9158 [03:27<1:29:42,  1.64it/s, train_loss=2.42, train_acc=0, avg_tr_acc=0.155, avg_tr_loss=2.89]   [A
Batch:   4%|3         | 356/9158 [03:37<1:29:31,  1.64it/s, train_loss=2.73, train_acc=0, avg_tr_acc=0.154, avg_tr_loss=2.86][A
Batch:   4%|4         | 373/9158 [03:47<1:29:21,  1.64it/s, train_loss=2.63, train_acc=0.125, avg_tr_acc=0.153, avg_tr_loss=2.84][A
Batch:   4%|4         | 390/9158 [03:58<1:29:11,  1.64it/s, train_loss=2.72, train_acc=0.375, avg_tr_acc=0.153, avg_tr_loss=2.82][A
Batch:   4%|4         | 407/9158 [04:08<1:29:01,  1.64it/s, train_loss=2.24, train_acc=0.125, avg_tr_acc=0.15, avg_tr_loss=2.8]  [A
Batch:   5%|4         | 424/9158 [04:19<1:28:52,  1.64it/s, train_loss=2.11, train_acc=0.375, avg_tr_acc=0.15, avg_tr_loss=2.78][A
Batch:   5%|4         | 441/9158 [04:29<1:28:41,  1.64it/s, train_loss=2.28, train_acc=0.125, avg_tr_acc=0.149, avg_tr_loss=2.77][A
Batch:   5%|5         | 458/9158 [04:39<1:28:31,  1.64it/s, train_loss=2.71, train_acc=0, avg_tr_acc=0.15, avg_tr_loss=2.75]     [A
Batch:   5%|5         | 458/9158 [04:49<1:28:31,  1.64it/s, train_loss=2.54, train_acc=0, avg_tr_acc=0.149, avg_tr_loss=2.74][A
Batch:   5%|5         | 475/9158 [04:50<1:28:20,  1.64it/s, train_loss=2.63, train_acc=0, avg_tr_acc=0.148, avg_tr_loss=2.74][A
Batch:   5%|5         | 492/9158 [05:00<1:28:08,  1.64it/s, train_loss=2.36, train_acc=0.125, avg_tr_acc=0.149, avg_tr_loss=2.73][A
Batch:   6%|5         | 509/9158 [05:10<1:28:01,  1.64it/s, train_loss=2.45, train_acc=0, avg_tr_acc=0.15, avg_tr_loss=2.71]     [A
Batch:   6%|5         | 526/9158 [05:21<1:27:49,  1.64it/s, train_loss=2.44, train_acc=0.125, avg_tr_acc=0.149, avg_tr_loss=2.7][A
Batch:   6%|5         | 543/9158 [05:31<1:27:38,  1.64it/s, train_loss=2.31, train_acc=0.125, avg_tr_acc=0.151, avg_tr_loss=2.69][A
