/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/interpolation.py:5: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  x = torch.tensor(x)
/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/interpolation.py:6: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  y = torch.tensor(y)
/geode2/home/u080/skarukas/Carbonate/SITH/models/other_layers/ShiftedConv2d.py:33: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  self.shifts = torch.tensor(shifts)
Epoch:   0%|          | 0/40 [00:00<?, ?it/s]
Batch:   0%|          | 0/9158 [00:00<?, ?it/s][A
Batch:   0%|          | 20/9158 [00:10<1:16:37,  1.99it/s, train_loss=8.81, train_acc=0.125, avg_tr_acc=0.15, avg_tr_loss=8.28][A
Batch:   0%|          | 41/9158 [00:20<1:15:05,  2.02it/s, train_loss=7.3, train_acc=0, avg_tr_acc=0.159, avg_tr_loss=7.48]    [A
Batch:   1%|          | 62/9158 [00:30<1:14:30,  2.03it/s, train_loss=7.23, train_acc=0.375, avg_tr_acc=0.151, avg_tr_loss=7.07][A
Batch:   1%|          | 83/9158 [00:40<1:14:10,  2.04it/s, train_loss=4.24, train_acc=0.125, avg_tr_acc=0.131, avg_tr_loss=6.65][A
Batch:   1%|1         | 104/9158 [00:51<1:13:53,  2.04it/s, train_loss=3.26, train_acc=0.125, avg_tr_acc=0.139, avg_tr_loss=6.59][A
Batch:   1%|1         | 125/9158 [01:01<1:13:39,  2.04it/s, train_loss=5.06, train_acc=0.125, avg_tr_acc=0.141, avg_tr_loss=6.37][A
Batch:   2%|1         | 146/9158 [01:11<1:13:26,  2.05it/s, train_loss=6.59, train_acc=0, avg_tr_acc=0.15, avg_tr_loss=6.14]     [A
Batch:   2%|1         | 167/9158 [01:21<1:13:15,  2.05it/s, train_loss=4.73, train_acc=0.125, avg_tr_acc=0.153, avg_tr_loss=6.19][A
Batch:   2%|2         | 188/9158 [01:32<1:13:04,  2.05it/s, train_loss=4.4, train_acc=0.125, avg_tr_acc=0.156, avg_tr_loss=6.07] [A
